レベル,曲名,BPM
48,ヒップロック3(EX),105-180
48,ベースボールヒロイン(EX),180
48,ブラックアルバム(EX),155
48,スパイラルステアーズ(EX),163
47,メイドメタル(EX),188
47,カイジュウ(EX),140
47,シューゲイザー(EX),196
Lv11
48,混ぜるな危険(EX),178
48,賢聖シリウスの采配(EX),270?
48,流離(EX),168
48,現代のヘイヨエ祭り(EX),155
48,"忍者メタル ポプコネ(EX)",210
48,シンフォニックメタルop.2(EX),170-180
48,プログレタンゴ(EX),138-170
48,ピアノコンテンポラリー(EX),148
48,ハードPf+(EX),266
48,海神(EX),159
47,ヴァリアントレイヴ(EX),180
47,チテイタンケン(EX),37-180
47,忍者メタル(EX),164
47,クラシック7(EX),190
47,ケンカドラム(EX),320
46,ネガメロック(EX),192
46,"萌えおこし電波ソング(EX)",185
Lv10
49,スクリーン(EX),379
49,クラシック9(EX),25-680
49,クラシック11(EX),40-320
48,サイバーガガク(EX),145-290
48,ドリームチャンプル(EX),120-140
48,グランヂデス(EX),140-175
48,ハードPf(EX),138
48,亜空間ジャズ(EX),170
48,エピックプログレ(EX),280
48,"グロッソラリア(EX)",110-135
48,"プログレッシブ(The Least 100sec)(EX)",200-263
47,Caradbolg(EX),110-196
47,"たまごの物理科学的 及び調理特性に関しての調査、そしてその考察(EX)",107-160
47,猫侍の逆襲(EX),152
47,彼女は快刀乱麻(EX),169
47,Cleopatrysm(EX),190
47,"Russian Caravan Rhapsody(EX)",158
47,龍と少女とデコヒーレンス(EX),165
47,プログレッシブ(V)(EX),150
47,コアロック(EX),182
47,ハッピー(EX),182-186
47,エレクトロバロック(EX),166
47,スイーツプログレッシヴ(EX),205
46,"ソーサリープログレッシヴ(EX)",158
46,コンテンポラリーネイション2(EX),111
Lv9
48,ブロークンサンバブレイク(EX),153
48,PSGブレイクコア(EX),200
48,金縛りの逢を(EX),200
47,ウィザウチュナイ-ゼクス-(EX),173
47,エレジィ2(EX),161
47,サイバーウエスタン(EX),148
47,土偶テクノ(EX),160
47,幻想音樂(EX),120
47,呪エモ?(EX),95-190
47,トランスコア(EX),173
47,ハイブリープ(EX),200
47,ピアノテック(EX),175
47,ませまてぃっく?ま＋ま＝まじっく！(EX),192
47,"バンブーソード・ガール(EX)",208
47,Reconsideration(EX),150
47,漆黒のスペシャルプリンセスサンデー(EX),200
47,僕ガ壊レル前ニ(EX),140
47,Peragro(EX),190
46,ビッグビート(EX),178
46,フォルクローレ(EX),125
Lv8
48,サイバーフラメンコ(EX),140-280
48,IDM(EX),90-180
48,ナイトメアカルーセル(EX),80-150
48,戦乱絵巻(EX),120-210
48,スターリートランス(EX),155
47,エキサイティング！！も・ちゃ・ちゃ☆(EX),187
47,ムーニャポヨポヨスッポコニャーゴ(EX),180
47,"NINE PIECE(EX)",140-168
47,和風プログレッシブ(EX),180
47,ちんどんジャズ(EX),213-230
47,フォレストスノウ2(EX),128
47,ヴェルヴェットバレットヒット(EX),177
47,おしゃまスウィング(EX),125
47,ハイパードラマティック(EX),160
47,"ハッピーハードコア(Im so Happy)(EX)",181
47,コンテンポラリーネイション(EX),140
47,Versa(EX),90-180
46,エッジ(EX),181
46,アカシックハードコア(EX),188
46,理系ポップ(EX),128
46,ホッテストパーティー(EX),145
46,ボールヅアウトロック(EX),181
44,ガールズオルタナティブコア(EX),145-175
41,ネイチャー(EX),91
41,カリビアンビーツ(EX),100
Lv7
48,モダンパンク(EX),148
48,ヒップロック5(EX),213
48,エッセンシャリー(EX),164
47,ゾディアックオラクル1(EX),180
47,中華ロック(EX),180
47,昭和ノワール(EX),225
47,下克上ドラムンベース(EX),175
47,姫コア(EX),95-190
47,ドラムンコアダスト(EX),181
47,ポップミュージック(EX),220
47,ダークオペラREMIX(EX),170
47,サーカス(EX),140-186
47,演説(EX),106-126
47,"ice crystals(EX)",185
47,532nm(EX),177
46,超恋愛☆エクストリーム・ガール(EX),196
46,ラボテクノ(EX),190
46,コンテンポラリーネイション5(EX),138
46,わんわんコア(EX),192
46,8000000(EX),200
45,オリエンタルフォークロア(EX),132
45,トザン(EX),175
45,ビートニク(EX),77-214
43,ラブリートランスポップ(EX),160
Lv6
48,デスレゲエ(EX),102-205
48,スピードコア(EX),270
48,カグランジ(EX),127
48,ビーストメタル(EX),249
47,ビビッド(EX),166-188
47,大宇宙の法典(EX),209
47,ハッピーハードコア(SweetSweetMagic)(EX),180
47,ヒルビリー(EX),272
47,デパファンク(EX),130
47,JAM(EX),240
47,ピラミッド(EX),70-270
47,近代絶頂音楽(EX),88-113
47,ナニワヒーロー(EX),152
47,サイバーメタル(EX),250
47,A.I.ダークネス(EX),60-190
47,コルトーン(EX),168-182
47,"El venenciador(EX)",156-162
47,僕らの旅はどこまでも(EX),110-220
46,ハイνブリープ(EX),196
46,スペースポップ(EX),180
46,ブルガリアンリズム(EX),204
46,スパイREMIX(EX),90-180
46,コスモロジカル(EX),162
46,サイコビリー(EX),220
46,撫子メタル(EX),150
46,アニマルミニマル(EX),160
46,カラーフュージョン(EX),150
46,ラッキーハードコア(EX),205
46,"徹頭徹尾 Thrive at Perfect Fourth(EX)",178
46,"Hatcha Metcha Party(EX)",200
46,√太陽系◎ドーナツ化計画∞∀∞(EX),190
46,地方創生☆チクワクティクス(EX),170
46,サケビノミドリ(EX),130
46,ACCELERATION(EX),175
45,メガネロック(EX),190
45,フォレストスノウ(EX),70-125
45,ドラムステップ(EX),180
45,パペットアンサンブル(EX),89-167
44,フィーバーヒーロー(EX),158-316
44,タブランベースREMIX(EX),161
Lv5
48,陣旗プログレッシブ(EX),92-162
47,ファンクフィーバー(EX),134
47,トランスランス(EX),158-180
47,"暴レ焔(EX)",164
47,シンフォニックメタル(EX),185
47,リンセイ(EX),164
47,カイゾク(EX),160
47,ロックビリー(EX),274
47,コアダストビート(EX),177
47,ルーニックエア(EX),126
47,フィーバーロボREMIX(EX),163
47,あやかしロック(EX),228
47,煌-灼熱の裁き-(EX),202
47,INFINITY(EX),172
47,"Strobe Girl(EX)",190
46,黒点(EX),150
46,曼珠沙華(EX),91～182
46,朱と碧のランページ(EX),178
46,浪漫歌謡(EX),158
46,バトルダンス(EX),100-155
46,グリーニング(EX),146
46,シンフォノベーティブロック(EX),120～180
46,ワールドツアー2(EX),72-150
46,コンテンポラリーネイション3(EX),150
46,キルト(EX),178
46,アジアンコンチェルトREMIX(EX),160
46,ハイコア(EX),190
46,ハッピーサッドコア(EX),188
46,Habits(EX),162
46,蒼が消えるとき(EX),162
46,ほしのつくりかた(EX),180
45,メタリックサーガ(EX),104-150
45,シュピーゲル(EX),157
45,draw!!!!(EX),157
45,ハンズアップ(EX),149
45,ハイパーファンタジア(EX),165
45,エピックポエトリー(EX),137-165
45,ポップコーンパーティー(EX),240
44,ハイパーJパーティーロック(EX),175
Lv4
47,ハイパーJポップ3(1/6billionth)(EX),145
47,モンゴル(EX),67-148
47,エンシャントユーロ(EX),156
47,アンセムトランスREMIX(EX),140
47,神曲(EX),140-152
47,ヴァルキリーブレイクス(EX),165
47,お米タル(EX),190
47,ビジュアル(月光蝶)(EX),109-218
46,乾坤一擲(EX),193
46,"HADROS GALE(EX)",193
46,千年ノ理(EX),153
46,憂恋☆アクティベーション(EX),150
46,ヨーロピアンブレイクコア(EX),100-180
46,エレジィ(EX),167-210
46,ねぶた(EX),140
46,禅ジャズ(EX),208-290
46,未来派(EX),160
46,デスロック(EX),165
46,モンゴルREMIX(EX),110-152
46,土木ロック(EX),85-170
46,ストライフ(EX),180
46,ピラミッドREMIX(EX),70-225
46,ポータブルポップ(EX),212
45,"Who done it?!(EX)",246
45,"モフポップ ポプコネ(EX)",187
45,"ガールズロック(BRE∀K DOWN!)(EX)",190
45,ラブリーくのいちポップ(EX),165
45,プリティ雅(EX),196
45,Struggle(EX),180
45,VERSUS!!(EX),187-280
45,ひまわりと散歩道(EX),180-230
44,"ハッピーハードコア(Sakura Sunrise)(EX)",181
44,レトロスペクティビリー・メリーゴーランド(EX),180
43,キョウゲキ(EX),60-180
43,必殺スパイ(EX),120-153
Lv3
48,DDR(EX),65-333
48,クラシック4(H),179
48,オイパンク(EX),200
47,"ジャパメタ(Craze for You)(EX)",166-333
47,レーシング(EX),170-300
47,ヴァイオリンプログレッシブ(EX),128
47,"地の記 獄編(EX)",174
46,"SPEED KING ON FIRE(EX)",130
46,水月鏡花のコノテーション(EX),185
46,"TOXIC VIBRATION(EX)",197
46,零と弌の鍵の唄(EX),178
46,フロウビート(EX),184-188
46,ブルームフュージョン(EX),144
46,ヒップロック4(EX),171
46,ケンドーロック(EX),176
46,ヴィジュアル4(EX),184
46,J-ロックΦNEW(EX),174
46,ツインヒーロー(EX),162-172
46,"流星RAVE REMIX(EX)",148
46,悪魔城ドラキュラSLOT2(EX),135
46,一生涯パンク(EX),150-186
46,悪魔城ドラキュラSLOT3(EX),174
46,エモーショナルデュオ(EX),200
46,"乙女繚乱 舞い咲き誇れ(EX)",210
46,オービタリックレボリューション(EX),160
46,蒼い弓箭(EX),164
46,ラピストリアの約束(EX),186
46,乱れた風紀に天罰を(EX),220?
46,青春剛速球メタル(EX),180
45,"滅亡天使 † にこきゅっぴん(EX)",200
45,"歌劇 月夜のアラビア(EX)",158
45,ファンタジアフュージョン(EX),135
45,ハイパーロッケンローレ(EX),179
45,太極拳(EX),85-137
45,ハッピーキュートコア(EX),174
45,浪速っ子ブギ(EX),186
45,トイコンテンポラリー(H),187
45,マダーロック(EX),120
45,年号ロック(EX),156
45,ハイパージャパネスク3(EX),85-170
45,メカニカルジャズ(EX),170
45,コンビニサーガ(EX),178
45,フロンティア(EX),142
45,ジュブナイルロック(EX),197
44,ハイパージャパネスク(EX),171
44,ラウドビーチ(EX),120-180
44,デジタルロック(EX),250
44,セツナトリップ(EX),145
43,ウィザウチュナイ-クアトロ-(EX),157
42,モッズ(H),170
41,応援歌(EX),140
Lv2
48,クラシック10(EX),50-200
47,ターバン(EX),178
47,ヒップロック2(EX),156-240
47,エンカREMIX(EX),139
47,ネジロック(EX),100-170
47,ドリームゲイザー(EX),174
46,スケールアウト(H),100-173
46,哀愁ユーロ(EX),156
46,トランス(Colors)(EX),150
46,サイケデリックトランス(EX),150
46,撫子ロック(EX),163
46,ウェルフェア(EX),139
46,黒船ファンク(EX),160
46,一揆(EX),250
46,あさきの刺激ロック(EX),126
45,"テクノポップ(321 STARS)(EX)",192
45,エレクトリックマヌーシュスウィング(EX),145
45,ミクスチャー(EX),116
45,エレクトロショック(EX),164
45,インフィニティ(EX),142
45,ラフロック(EX),190
45,ファンキーコタ(EX),187
45,フルーフ(EX),70-124
45,スノーウィーコア(EX),196
45,春風ブローインウィンド(EX),160
45,スカーレット(EX),175
44,ケルト(EX),110
44,敬老パンク(H),89-356
44,オラトリオ(EX),170
44,フォークロック(EX),125-127
44,J-ハードダンス(EX),155
44,ハードルネッサンス(H),212
44,ムーンコア(EX),185
44,ジャッジメント(H),185
44,"華陽炎-Hana Kagerou-(EX)",85-195
44,ウィザウチュナイ-ペンデ-(EX),165
43,チアパラ(EX),142
43,リトルロック(EX),175
43,スプリングテクノ(EX),150
42,ラヴリーパラダイスチューン(EX),180
42,トイボックス(EX),70-180
41,ネガメロック(H),192
47,アスレチックブギー(EX),248
46,スカ(Cassandra)(EX),68-192
46,"エレクトリカルパレード(BAROQUE HOEDOWN)(EX)",120
46,トライバルポップ(EX),125
46,ヴイエスサウンド(EX),155
46,ハイパーJ－ロック(brave!)(EX),180
46,ラウドミクスチャー＆ラガ(EX),182
46,レディースメタル(EX),178
46,デモンズメタル(EX),135-167
46,ケマリ(EX),136
45,"On Your Mark(EX)",183
45,哀愁スカ(EX),176
45,ガールズロック(☆shining☆)(EX),185
45,ロービットサンプリング(EX),180
45,スペースワルツ(EX),101-236
45,デスボサ(EX),155
45,モフロック(EX),170
45,ファッシネイション(EX),149
45,メロディックスピード(EX),222?
45,コンテンポラリーネイション4(EX),100
45,戦場のアップデート(EX),147
45,"KHAMEN BREAK(EX)",180
45,"Symsonic Breeze(EX)",170
45,フラワーポップREMIX(EX),190
45,QuoN(H),168
44,ガールズロマンスポップ(EX),188
44,ハッピーラブゲイザー(EX),188
44,華恋ロック(EX),142
44,エモ(EX),185
44,ヒップロックREMIX(EX),142-170
44,ホンコンユーロ(EX),150
44,FMポップ(EX),160
44,バトルシンフォニー(EX),175
44,ファルシオン(EX),200
44,エレゴスREMIX(EX),173
44,ムラクモ(H),140
44,グラヴィオール(H),90-182
44,テックトランス(EX),187
44,ロマスウィング(EX),140
44,"Baby Sherry(EX)",148
44,Harmonia(EX),177
43,エンジェリオン(H),105-172
43,ロープレバトル(EX),140-143
43,キャバレー(EX),70
43,エモーショナル(EX),150
43,プログレッシブ(V)(H),150
43,スターヒーロー(EX),150
43,キャンディレイヴ(smooooch・∀・)(EX),177
43,万葉歌(EX),170
43,アメポップ(EX),180
42,"ハッピーハードコア(STAR SHIP★HERO)(EX)",190
42,ボールヅアウトロック(H),181
42,バブルガムダンス(EX),140
42,"ヘイ!ヘイ!Bay ~ボクらの夏にサマー☆ウェイヴ~(EX)",50-168
41,"ハイスピードラブソング(EX)",180
41,じょいふる(EX),159
Lv1
47,J-ロック(Romance)(EX),206
46,ロックギター(EX),144
46,ジャズ・アリア(EX),144-216
46,アフロパーカッションパーティー(EX),190
46,スクリーン(H),379
45,ハイテンションギャルロック(EX),210
45,ポップン体操(EX),8-200
45,ロッテルダムテクノ(rottel-da-sun)(EX),199
45,ガールズロックエクストリーム(チカラ)(EX),185
45,クリスマスプレゼント(EX),70-180
45,エレメンタルジグ(EX),137-205
45,エレクトロスウィング(EX),105-145
45,レトロフューチャーREMIX(EX),151-152
45,バイオテクノ(EX),211-215
45,"Shock Me(EX)",218
44,ダージュ(H),165-188
44,アリプロ(愛と誠)(EX),140
44,スピットロック(EX),150
44,テツドウ(EX),120
44,ホウノウダイコ(EX),145
44,メロコアG(EX),162
44,ハイパージャパネスク2(EX),160
44,デスナワ(EX),130-170
44,チキンハート(EX),158
44,コスモドライブ(EX),188
44,チッピンレイヴ(EX),175
44,KARAKARA(EX),188
43,ジュエリーロック(EX),173
43,アートコア(H),186
43,C18H27NO3(H),210
43,うさぬこぬんぬんファンタジー！(EX),160
42,イークリニック(EX),168
42,パティスリーポップ(EX),194
42,シンフォニックテクノ(EX),151
42,運命のパラドックス(EX),190
41,コンテンポラリーネイション2(H),111
38,必殺スパイ(H),120-153
46,メロパンク(EX),120-168
46,JV-ROCK(洟・月・奇蹟)(EX),170
46,エージビート(EX),110
46,パーカッシヴ2(EX),124?
46,スウィングラテ(EX),186
45,グラディウス(EX),160-220
45,アリプロ2(暗黒サイケデリック)(EX),135
45,ヒートアップ(EX),149
45,エモクトロ(EX),210
45,ハイスピード幻想チューン(EX),179
45,プラチナムファンタジア(EX),210
45,桃ヴィジュアル(EX),118
44,デスレゲエ(H),102-205
44,キャンディポップ(EX),180
44,ガバ(EX),185
44,フォールスメルヘン(EX),145-220
44,アジアンレイヴ(EX),180
44,クラウンパンク(EX),198
44,キューティーエレポップ(EX),146
44,チョコレートスマイル(EX),196
44,トランスユーロREMIX(EX),154
44,てくのほそみち(EX),110-220
44,スーパースプラッシュチューン(EX),195
43,"Realize Maze(EX)",149
43,ブラッドメタル(H),198
43,キネマ2(EX),62-101
43,デスコラップ(EX),80-160
43,ストリートチューン(EX),284
43,エピローグ(EX),65-146
43,トゥインクルポップ(EX),188
43,ウルトラ90’s(EX),124
43,幻想系世界修復少女(EX),193
42,禅ジャズ(H),290
42,Metamorphose(H),201
42,パンク(そっと。)(EX),290
39,ガールズオルタナティブコア(H),145-175
